cod_scuola,nome_scuola,indirizzo_scuola,sito_scuola,scuola_paritaria,id_provincia,id_regione,id_comune,comune_scuola,num_diplomati_x_coorte,indice_fga,fga_forchetta_bassa,fga_forchetta_alta,indice_perc_cfu,indice_media_voti,completamento_pct,tasso_immatricolazione_pct,tasso_non_immatricolazione_pct,abbandono_pct,voto_medio_immatricolati,voto_medio_non_immatricolati,comune_di_ricerca,raggio_km_ricerca,tipologia_ricerca
FITL01301Q,SALVEMINI - DUCA D'AOSTA,VIA GIUSTI 2729,http://www.polotecnico.gov.it/,0,48,9,48017,Firenze,46,61.91,54.31,70.34,63.43,25.25,5.71,53.96,46.04,10.07,82.35,73.19,Firenze,10,Tecnico - Tecnologico
FITA00701G,ISTITUTO AGRARIO FIRENZE,VIA DELLE CASCINE 11,http://www.agrariofirenze.gov.it/,0,48,9,48017,Firenze,142,60.11,55.71,65.44,57.39,25.54,5.7,60.05,39.95,17.52,79.61,70.49,Firenze,10,Tecnico - Tecnologico
FITE004012,MORANTE - GINORI CONTI,VIA CHIANTIGIANA 26A,http://www.elsamorante.edu.it/,0,48,9,48017,Firenze,85,58.68,53.88,64.31,60.13,24.87,5.84,81.96,18.04,18.43,83.66,76.17,Firenze,10,Tecnico - Tecnologico
FITF010003,ANTONIO MEUCCI,VIA DEL FILARETE 17,http://www.itismeucci.gov.it/,0,48,9,48017,Firenze,175,49.06,44.57,54.67,47.32,24.1,4.69,46.3,53.7,15.37,83.18,73.98,Firenze,10,Tecnico - Tecnologico
FITF01701V,LEONARDO DA VINCI,VIA DEL TERZOLLE 91,http://www.isisdavinci.gov.it/,0,48,9,48017,Firenze,145,36.03,30.58,43.36,30.87,22.94,3.99,35.24,64.76,15.56,82.27,73.38,Firenze,10,Tecnico - Tecnologico
FITF00601C,CELLINI - TORNABUONI,VIA MASACCIO 8,http://www.cellini.firenze.it/,0,48,9,48017,Firenze,22,34.47,21.38,54.76,22.83,23.53,2.15,35.82,64.18,17.91,81.17,76.98,Firenze,10,Tecnico - Tecnologico
FITB015001,LINDBERGH FLYING SCHOOL,VIA DI RIPOLI 88,http://www.aeronauticofirenze.it/,1,48,9,48017,Firenze,11,,,,,,6.94,,,,,,Firenze,10,Tecnico - Tecnologico
FITF265001,PIERO CALAMANDREI,VIA GHIBELLINA 77,http://www.istitutocalamandrei.it,1,48,9,48017,Firenze,11,,,,,,0.0,,,,,,Firenze,10,Tecnico - Tecnologico
ARPS01901L,BENEDETTO VARCHI,VLE MATTEOTTI 50,http://www.isisvarchi.gov.it/,0,51,9,51026,Montevarchi,25,77.02,69.06,85.43,79.56,26.94,7.44,90.67,9.33,8.0,89.34,76.0,Arezzo,10,Classico
ARPC010002,FRANCESCO PETRARCA,VIA CAVOUR 44,http://www.liceo-classico.arezzo.it/web/,0,51,9,51002,Arezzo,86,72.01,67.46,76.98,70.39,26.84,7.84,93.41,6.59,14.73,89.31,80.24,Arezzo,10,Classico
ARPC001018,LUCA SIGNORELLI,VICOLO DEL TEATRO 4,http://www.istitutosignorelli.gov.it/wordpress/,0,51,9,51017,Cortona,37,67.94,61.35,75.43,64.14,26.61,9.17,91.89,8.11,17.12,89.01,86.11,Arezzo,10,Classico
ARPS002017,IS SANSEPOLCRO,LGO MONSIGNOR LUIGI DI LIEGRO 3,http://www.liceosansepolcro.it/home/,0,51,9,51034,Sansepolcro,8,49.27,32.76,70.6,46.84,24.21,8.82,88.24,11.76,29.41,93.33,93.5,Arezzo,10,Classico
ARPS02000Q,FRANCESCO REDI,VIA LEONE LEONI 38,http://www.liceorediarezzo.it/,0,51,9,51002,Arezzo,107,78.27,74.13,82.73,79.78,27.21,7.94,95.03,4.97,12.11,87.52,78.44,Arezzo,10,Scientifico
ARPS00401V,GIOVANNI DA CASTIGLIONE,VIA ROMA 2,http://www.liceocastiglione.gov.it/,0,51,9,51012,Castiglion Fiorentino,41,72.87,66.57,79.77,71.4,26.92,8.25,91.87,8.13,14.63,86.27,78.2,Arezzo,10,Scientifico
ARSD06000L,PIERO DELLA FRANCESCA,VIA XXV APRILE 86,http://www.artearezzo.it/scuola/,0,51,9,51002,Arezzo,36,61.05,54.14,68.86,62.02,25.21,6.74,83.64,16.36,18.18,90.51,81.0,Arezzo,10,Scientifico - Scienze applicate
ARPM015009,SAN BARTOLOMEO,VIA SANTA CROCE 2,http://liceosanbartolomeo.inps.gov.it/,1,51,9,51034,Sansepolcro,8,64.74,51.04,79.11,77.28,24.26,5.59,88.0,12.0,8.0,85.27,70.67,Arezzo,10,Scienze Umane
ARPM03000B,VITTORIA COLONNA,VIA PORTA BUIA 6,http://www.vittoriacolonna.com/,0,51,9,51002,Arezzo,60,62.58,57.07,68.52,67.76,24.89,6.71,85.0,15.0,11.67,86.47,81.44,Arezzo,10,Scienze Umane
ARPS02101L,GALILEO GALILEI,PZZA BONILLI 1,http://www.liceopoppi.it/,0,51,9,51031,Poppi,27,57.95,49.7,66.94,64.76,24.14,8.8,77.78,22.22,12.35,82.37,74.17,Arezzo,10,Scienze Umane
ARPM010006,GIOVANNI DA SAN GIOVANNI,PZZA PALERMO 1,http://www.liceisgv.gov.it/,0,51,9,51033,San Giovanni Valdarno,79,54.94,49.79,60.75,55.6,24.51,6.46,75.11,24.89,14.35,86.29,77.76,Arezzo,10,Scienze Umane
ARRC019015,BENEDETTO VARCHI,VIA GALILEO GALILEI 1,http://www.isisvarchi.gov.it/istitutomagiotti/,0,51,9,51026,Montevarchi,0,,,,,,0.0,,,,,,Arezzo,10,Artistico
ARTD002013,IS SANSEPOLCRO,VIA PIER DELLA FRANCESCA 43,http://www.liceosansepolcro.it/,0,51,9,51034,Sansepolcro,54,55.71,49.24,62.95,54.39,24.84,7.83,64.63,35.37,12.2,88.53,79.45,Arezzo,10,Tecnico - Economico
ARTD01201N,GALILEO GALILEI,VIA COLLE ASCENSIONE 1,http://www.liceopoppi.it/,0,51,9,51031,Poppi,16,51.16,37.46,66.29,59.4,23.15,7.1,44.0,56.0,8.0,87.82,74.14,Arezzo,10,Tecnico - Economico
ARTD008012,IS VALDARNO,VIA SANSONI 17,http://www.isisvaldarno.gov.it/,0,51,9,51033,San Giovanni Valdarno,61,49.66,42.78,57.47,47.41,24.23,6.55,50.82,49.18,10.93,89.52,79.21,Arezzo,10,Tecnico - Economico
ARTD001017,LUCA SIGNORELLI,VICOLO DEL TEATRO 4,http://www.istitutosignorelli.gov.it/wordpress/,0,51,9,51017,Cortona,34,49.39,40.96,58.92,48.82,24.0,8.67,58.25,41.75,11.65,86.17,74.47,Arezzo,10,Tecnico - Economico
