cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
CNPM010004,18.2,81.8,"[7.6, 4.5, 5.3, 0.8]","[6.8, 8.3, 28.8, 37.9]",Docenti per fasce di età (%) (A.S. 2025/26),1.9,5.5,6.0,2.8,3.5,3.6
CNSL02401V,29.8,70.10000000000001,"[11.8, 9.3, 5.0, 3.7]","[2.5, 9.9, 21.1, 36.6]",Docenti per fasce di età (%) (A.S. 2025/26),4.7,5.5,6.0,0.9,3.5,3.6
CNSD021011,27.4,72.6,"[9.7, 10.5, 3.2, 4.0]","[9.7, 19.4, 18.5, 25.0]",Docenti per fasce di età (%) (A.S. 2025/26),1.2,5.5,6.0,0.0,3.5,3.6
CNTD04000P,34.8,65.1,"[13.5, 13.5, 5.6, 2.2]","[2.2, 9.0, 10.1, 43.8]",Docenti per fasce di età (%) (A.S. 2025/26),1.9,5.5,6.0,9.6,3.5,3.6
CNRC00301D,39.3,60.7,"[15.2, 11.4, 8.9, 3.8]","[10.1, 17.3, 15.2, 18.1]",Docenti per fasce di età (%) (A.S. 2025/26),5.1,5.5,6.0,1.5,3.5,3.6
CNTF010005,23.3,76.7,"[10.1, 6.9, 5.0, 1.3]","[8.8, 13.8, 20.8, 33.3]",Docenti per fasce di età (%) (A.S. 2025/26),4.5,5.5,6.0,0.9,3.5,3.6
CNTL024018,29.8,70.10000000000001,"[11.8, 9.3, 5.0, 3.7]","[2.5, 9.9, 21.1, 36.6]",Docenti per fasce di età (%) (A.S. 2025/26),4.7,5.5,6.0,0.9,3.5,3.6
CNTA02801P,29.9,70.1,"[16.8, 5.8, 6.6, 0.7]","[8.0, 13.9, 19.0, 29.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.5,6.0,1.1,3.5,3.6
NOPC07000L,15.4,84.5,"[6.2, 1.5, 4.6, 3.1]","[1.5, 9.2, 16.9, 56.9]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.5,6.0,4.8,3.5,3.6
VCPC00101T,22.4,77.6,"[8.8, 4.1, 6.8, 2.7]","[2.7, 12.8, 18.2, 43.9]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.5,6.0,6.0,3.5,3.6
PVPC010006,13.5,86.60000000000001,"[2.9, 5.8, 1.9, 2.9]","[4.8, 15.4, 30.8, 35.6]",Docenti per fasce di età (%) (A.S. 2025/26),1.2,5.4,6.0,0.0,3.5,3.6
